Bid Details,,,
Bid End Date/Time,,19-07-2021 17:00:00,
Bid Opening Date/Time,,19-07-2021 17:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Communications,
Department Name,,Department Of Posts,
Organisation Name,,Ap Postal Circle Department Of Posts,
Office Name,,A.p. Postal Circle,
Total Quantity,,800000,
Item Category,,Parcel Bag Labels of 'CBD/CED' Series,
"Minimum Average Annual Turnover of theBidder",,4 Lakh (s),
OEM Average Turnover (Last 3 Years),,4 Lakh (s),
Years of Past Experience required,,3 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Experience Criteria,Past Performance,Bidder Turnover,OEMAnnual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,80 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
Required,,No
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unregistered Brand,
SpecificationSpecification NameBid Requirement (Allowed Values),Specification,,Specification Name,,Bid Requirement (Allowed Values)
"Specification ParameterBid Requirement (Allowed Values)Namegrammage of paper on which350label is printed","Specification ParameterName",,Bid Requirement (Allowed Values)
"grammage of paper on whichlabel is printed",,350,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer520013,BEHIND1Yarlagadda PrasadDOORDARSHAN QUARTERS,80000015GEETANAGAR, KRISHNALANKA",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Yarlagadda Prasad,,"520013,BEHINDDOORDARSHAN QUARTERS,GEETANAGAR, KRISHNALANKA",,800000,,15,
