Bid Details,,,
Bid End Date/Time,,22-07-2021 12:00:00,
Bid Opening Date/Time,,22-07-2021 12:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Item Category,,"Goods Transport Service – Per KM Based Service -Machinery & Equipment; CHTT 20 TON LOW BED; 20 TON",
Contract Period,,9 Month(s),
"Past Experience of Similar Servicesrequired",,Yes,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"SHG Exemption for Years of Experience andTurnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,774156.3,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"SpecificationValuesCoreNature of GoodsMachinery & EquipmentType of TruckCHTT 20 TON LOW BEDSize / Weight of vehicle20 TON LOW BEDType of TravelOutside stateKm Range601 – 1000 Km (Filter for Outside State)Area of OperationHilly + Plain AreaAddon(s)LoadingNoUnloadingNoTracking System (GPS)NoTransit InsuranceNo",Specification,,Values
Core,,,
Nature of Goods,,Machinery & Equipment,
Type of Truck,,CHTT 20 TON LOW BED,
Size / Weight of vehicle,,20 TON LOW BED,
Type of Travel,,Outside state,
Km Range,,601 – 1000 Km (Filter for Outside State),
Area of Operation,,Hilly + Plain Area,
Addon(s),,,
Loading,,No,
Unloading,,No,
Tracking System (GPS),,No,
Transit Insurance,,No,
"ServiceConsignee/ReportiAdditionalS.No.AddressRunningng OfficerRequirementKilometres1**********************AGRA1N/A",S.No.,,"Consignee/Reporting Officer",,Address,,"ServiceRunningKilometres",,"AdditionalRequirement"
1,,***********,,***********AGRA,,1,,N/A,
