Bid Details,,,
Bid End Date/Time,,24-07-2021 14:00:00,
Bid Opening Date/Time,,24-07-2021 14:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Home Affairs,
Department Name,,Central Armed Police Forces,
Organisation Name,,Directorate Of Coordination Police Wireless,
Office Name,,New Delhi,
Total Quantity,,1,
Item Category,,Steel Porta Cabin,
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Certificate (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,Yes,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,State Bank of India,
"",EMD Percentage(%),,3.00,
"",EMD Amount,,29985,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00
Duration of ePBG required (Months).,,15
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",GENERIC,,Configuration of Cabin,,Hall with attached Room – 1 no
"","Approval of Advancesample",,"Seller agree to submit layout drawing for eachTYPE/SIZE porta cabins",,
"","Time period for completionof Erection work at site byseller",,"Within 20 days of the date of receipt of Purchaseorder",,
"","Suitability / structuralstability / completness ofstructures, the structure isintended for use in",,"In wind condition of 55m/s - in Seismic zone V andambient temperature up to (+) 50 degree C. Cabinshould be structurally stable and suitable to meetseverity of these climatic condition",,
"",Shape of Cabin,,Rectangular,,
"",Type of slope(roof),,No Slope (self draining type roof),,
"",Storage provision,,N.A,,
"","Provision for PowerConnection",,"The seller to be liable for Electric Supply to PortaCabin at one point only (suitable for 415 V 50 HZ fordistribution of supply for various appliances)",,
"",Wiring,,Concealed wiring,,
"","Provision for Cable ,Switches and Junction boxconnection",,As per Buyer’s choice,,
"",Other requirements,,"All necessary required permissions from civicagencies for installation and commissioning to bearranged by seller - necessary assistance /documents required to be provided by Buyer.",,
"",Side wall panel material,,"PUF Wall Panel – Panel made up of micro ribbing Pre-Painted Galvanized Iron Sheet on both sides(havetongue groove arrangement) and 50mm thickcomposite PUF sandwich between Pre-PaintedGalvanized Iron Sheet",,
"",Door panel material,,"Panel made up of micro ribbing Pre-PaintedGalvanized Iron Sheet on both sides(have tonguegroove arrangement) and 50 mm thick composite PUFsandwich between Pre-Painted Galvanized Iron Sheet",,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,Window panel material,,"With aluminium grill protection from inside alongwithmosquito mesh."
"",,"Door and Window canopymaterial",,As per Buyer’s choice
"",,Floor panels material,,"18mm thick cement board with PVC Vinyl carpet topof at least 1.5mm thickness with suitable support onbottom"
"",,Roof panel material,,"The PUF insulated Ceiling panels. The covering onceiling panels shall be micro riving Pre-coatedgalvanized iron sheet and Self draining Type Roofshall be provided with water proof covering"
"",,End panel material,,As per Buyer’s choice
"",,"Insulation material for sidesand End walls",,"50mm thick layer of PU foam of density of 40±2 kg /CuM as insulation"
"",,Insulation material for Roof,,"50mm thick layer of PU foam of density of 40±2 kg /CuM as insulation"
