Bid Details,,,
Bid End Date/Time,,30-07-2021 15:00:00,
Bid Opening Date/Time,,30-07-2021 15:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Communications,
Department Name,,Department Of Posts,
Organisation Name,,Department Of Posts,
Office Name,,"Postal Directorate, Dak Bhawan, New Delhi",
Item Category,,"IT Professional Outsourcing Service - Operations andSupport; Visualization Reporting Expert; Gradua",
Contract Period,,6 Month(s),
"Minimum Average Annual Turnover of theBidder",,1 Lakh (s),
Years of Past Experience required,,3 Year (s),
"Past Experience of Similar Servicesrequired",,Yes,
MSE Exemption for Turnover,,Yes,
Startup Exemption for Turnover,,Yes,
SHG Exemption for Turnover,,Yes,
Document required from seller,,"Experience Criteria,Bidder Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,7 Days,
Estimated Bid Value,,200000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Specification,,Values
Core,,
Broad Scope,,Operations and Support
"Role / Designation ofResources",,Visualization Reporting Expert
Minimum Qualification,,Graduate
Specification,,Values
Qualification Stream,,"BCA , MCA , B.Tech(ECE) , B.Tech(CSE/IT) , B.Tech(EEE) , B.E. (IT/CSE) , B,SC. (CS&IT)"
Min Experience ( Years),,4
Certifications,,None
Addon(s),,
"Number ofResources ofConsignee/ReportiaboveAdditionalS.No.Addressng OfficermentionedRequirementtechnicalspecification570010,O/o GM, CEPT Mysuru -1S T P Srikanth1N/A570010",S.No.,,"Consignee/Reporting Officer",,Address,,"Number ofResources ofabovementionedtechnicalspecification",,"AdditionalRequirement"
1,,S T P Srikanth,,"570010,O/o GM, CEPT Mysuru -570010",,1,,N/A,
