Bid Details,
Bid End Date/Time,28-07-2021 18:00:00
Bid Opening Date/Time,28-07-2021 18:30:00
Bid Life Cycle (From Publish Date),90 (Days)
Bid Offer Validity (From End Date),60 (Days)
Ministry/State Name,Ministry Of Petroleum And Natural Gas
Department Name,Na
Organisation Name,Oil And Natural Gas Corporation Limited
Office Name,609604
Total Quantity,17
Item Category,"Digital Multimeter-IS:9000 , Digital Earth Resistance Meter-IS 9000 , Insulation Tester-IS 9000 , true rms clamp meter ,Sound Level Meter/Noise Level Meter(Sound measuringapparatus or decibel meter)"
"Minimum Average Annual Turnover of theBidder",1 Lakh (s)
OEM Average Turnover (Last 3 Years),1 Lakh (s)
Years of Past Experience required,2 Year (s)
"MSE Exemption for Years Of Experienceand Turnover",Yes
"Startup Exemption for Years of Experienceand Turnover",No
Document required from seller,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer"
Past Performance,10 %
Bid to RA enabled,No
Primary product category,"Sound Level Meter/Noise Level Meter(Sound measuringapparatus or decibel meter)"
"Time allowed for Technical Clarificationsduring technical evaluation",3 Days
Bid Details,,,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,Yes,
"Inspection to be carried out by Buyers ownempanelled agency",,Yes,
Type Of Inspection,,Post Dispatch,
"Name of the Empanelled InspectionAgency/ Authority",,CONCERNED ONGC QUALITY ASSURANCE DEPARTMENT,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",MEASUREMENTS,,DC Voltage Range,,600.0
"",DC Voltage Accuracy,,0.5,,
"",DC Voltage resolution,,0.1,,
"",AC Voltage Range,,600.0,,
"",AC Voltage Accuracy,,1.0,,
"",AC Voltage resolution,,0.1,,
"",DC Current Range,,10.0,,
"",DC Current Accuracy,,1.0,,
"",DC Current resolution,,0.01,,
"",AC Current Range,,10.0,,
"",AC Current Accuracy,,1.5,,
"",AC Current resolution,,0.01,,
"",Resistance Range,,60.0,,
"",Resistance Accuracy,,1.0,,
"",Resistance resolution,,0.01,,
"","Capacitance Range ( Microfarad )",,"1 to 100, 1 to 200, .01 to 1000, NA, 0 to 300",,
"",Capacitance Accuracy ( % ),,"1.5, 2.5, 3.5, 5, NA, 0.2",,
"","Capacitance resolution ( nF)",,"0.001, 0.01, 0.1, 1, 10, 100, NA",,
"",Frequency Range ( KHz ),,"50, 100, 200, 300, 400, 1000, 10000, 100000, NA",,
"",Frequency Accuracy ( % ),,0.1,,
"",Frequency resolution ( Hz ),,0.01,,
"","Temperature Range (Degree C )",,"-40 to 400, -50 to 1000, NA, -200 to +600",,
"",Temperature Accuracy ( % ),,"1.5, 2, NA, 0.5",,
"","Temperature resolution (Degree C )",,"0.001, 0.01, 0.1, 1, 10, 100, NA",,
"",Type,,Hand Held,,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,Display (Digits),,4.5
"",,Measurement Type,,True RMS
"",,Counts,,"4000, 6000, 50000, 10000, 20000, 30000, 40000,60000, 70000, 80000, 90000, 100000, 200000,20000000, 2000 Or higher"
SAFETY,,Safety Rating,,Category III 600 V of IEC 61010.
WARRANTY,,Warranty,,3.0
