RA Details,,,
RA Technical End Date/Time,,03-08-2021 13:00:00,
RA Opening Date/Time,,03-08-2021 13:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Home Affairs,
Department Name,,Central Armed Police Forces,
Organisation Name,,Indo Tibetan Border Police (itbp),
Office Name,,17th Bn Itb Police Rekong Peo Distt Kinnaur Hp,
Total Quantity,,500,
Item Category,,Antacid Effervescing Powder for instant Acidity relief,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Dharminder Singh,"172107,17TH BN, ITBP, REKONGPEO DISTT KINNAUR",500,15
