RA Details,,,
RA Technical End Date/Time,,03-08-2021 10:00:00,
RA Opening Date/Time,,03-08-2021 10:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,502,
Item Category,,"High Visability Reflective Vest , labels stickers",
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Primary Product,,labels stickers,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,181000,
Evaluation Method,,Item wise evaluation,
"",Required,,No,
"",Required,,No,
"",Evaluation Schedules,,Estimated Value,,Item/Category,,Quantity,
"",Schedule 1,,175000,,High Visability Reflective Vest,,500,
"",Schedule 2,,6000,,Labels Stickers,,2,
Brand Type,Unbranded,
Specification,Specification Name,Bid Requirement (Allowed Values),
ITEM,ITEM,High Visability Reflective Vest,
SPECIFICATION,"Technical Specification ofthe Product","High Visability Reflective Vest as per Specification ofIndian Oil Corporation Ltd ( IOCL ) ( Specificationattached ) and British Standard Specification No BSENISO -20471: 2013.",
COLOUR,"Colour ( As per clause 5 1 2(table 2) of BSEN ISO -20471-2013 )",Fluorescent Orange - Red,
"DESIGNREQUIREMENTS","Position of Bands ofRetroreflective Tape","Two Horizontal Band of Retroreflective Materialencirculing the Torso ( Clause 4 of IOCL specification ),As per Buyer Requirement",
SIZE / DIMENSIONS,Size,"Large, Extra Large",
"OTHERREQUIREMENTS","Colour fastness of BackGround Material as perclause 5 3 3 of BSEN ISO -20471: 2013","Meets the requirements of Colour fastness toDomestic Laundry",
Specification,Specification Name,Bid Requirement (Allowed Values),
"MARKING OFDEPARTMENTALIDENTIFICATION /LOGO","Marking of DepartmentalIdentification / Logo","Size, Position, Type and Nos of Logo shall be as perbuyer's requirements",
ADVANCE SAMPLE,"Agree to provide AdvanceSample(s) for buyer'sapproval beforecommencement of supply",Yes,
TEST REPORT,"Test reports to be furnished tobuyer on demand, if claimed tobe available",Yes,
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"",SAMPLE,,QTY-02 (BEFORE BULK PRODUCTION),
"",PRINTING OF LOGO,,AS PER BUYER REQUIREMENT,
"","Applicable SpecificationDocument",,View,
S.No.,"Consignee/Reporting Officer",,Address,Quantity,Delivery Days,
1,***********,,***********FARIDABAD,500,15,
Brand Type,Unbranded,
Specification,Specification Name,Bid Requirement (Allowed Values),
"Features ofLabel/Sticker",Supply of Labels / Stickers,In sheet form,
"",Shape of Labels / Stickers,Rectangular shape,
"",Cutting of Labels / Stickers,Die cutting,
Type,Type of Labels / Stickers,Self Adhesive,
Material of Labels / Stickers,Glossy coated on top,,
"Material of Backing ReleaseLiner",Super calendered glassine paper,,
Specification,Specification Name,Bid Requirement (Allowed Values),
Dimension,Size of Labels / Stickers,A6,
"","Width of Labels / Stickers(mm)","105, 110",
"","Height of Labels / Stickers(mm)",148,
Grammage,"Grammage of paper ofstickers/labels (g/m2)",90,
"","Grammage of backing liner(g/m2)",60,
"Adhesive Type andPrinting",Type of Adhesive,waterbase,
"",Printing of Labels / Stickers,As Per Purchaser Requirement,
Packaging,"Number of Labels/ Stickersin a pack",500,
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"",SAMPLE,,QTY-02 (BEFORE BULK PRODUCTION),
"",PRINTING OF LABEL,,AS PER BUYER REQUIREMENT,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,***********,***********FARIDABAD,2,15,
