RA Details,,,
RA Technical End Date/Time,,06-08-2021 18:00:00,
RA Opening Date/Time,,06-08-2021 18:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,70 (Days),
Ministry/State Name,,Ministry Of Communications,
Department Name,,Department Of Posts,
Organisation Name,,Madhya Pradesh Postal Circle Department Of Posts,
Office Name,,Madhya Praodesh,
Total Quantity,,678000,
Item Category,,EMS Speed Post Tag Labels,
Average Turnover (Last 3 Years),,1 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),Additional Doc 1(Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Estimated RA Value,,223740,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"","Speed post Barcode Bag LabelSize 8 x 14 cms Bag labels withnew logo of speed post on 300GSM white laminated Indian Artcard with metal eyelets on theleft side middle three colourprinting with pre printed 13digit Barcode of size 5 x 1 cms",,"Speed post Barcode Bag Label Size 8 x 14 cms Bag labels with new logo ofspeed post on 300 GSM white laminated Indian Art card with metal eyeletson the left side middle three colour printing with pre printed 13 digitBarcode of size 5 x 1 cms",
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,Sanjay Kumar Nema,"462027,Arera Hills",678000,30,
