Bid Details,,,
Bid End Date/Time,,06-08-2021 13:00:00,
Bid Opening Date/Time,,06-08-2021 13:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,80 (Days),
Ministry/State Name,,Ministry Of Heavy Industries And Public Enterprises,
Department Name,,Department Of Heavy Industry,
Organisation Name,,Bharat Heavy Electricals Limited (bhel),
Office Name,,10130010-hpep Hyderabad,
Total Quantity,,3,
Item Category,,Radio Remote Control,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unregistered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)TransmitterTransmitter Operating434SpecificationsFrequency,MHZReceiverReciever Operating434SpecificationsFrequency,MHZ",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"TransmitterSpecifications",,"Transmitter OperatingFrequency,MHZ",,434,
"ReceiverSpecifications",,"Reciever OperatingFrequency,MHZ",,434,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer502032,CMM Stores , BHEL1Madhusudan Murmu390HPEP , Ramachandrapuram",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Madhusudan Murmu,,"502032,CMM Stores , BHELHPEP , Ramachandrapuram",,3,,90,
