Bid Details,,,
Bid End Date/Time,,11-08-2021 09:00:00,
Bid Opening Date/Time,,11-08-2021 09:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,10,
Item Category,,scanners,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Additional Doc 1 (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,Yes,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated Bid Value,,177462,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",Scanning Technology,,CCD
"",Scanner Type,,Integrated Sheet Fed & Flat Bed
"",Document Size,,A4
"",Optical Resolutiom (Dpi),,1200.0 - 9999999.0 Or higher
"",Monochrome Scan Speed,,25
"",Colour Scan Speed,,25
"",Multi Fed Detection Feature,,Yes
"","Daily Duty Cycle (Number ofPages)",,1500.0 - 9999999.0 Or higher
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"On Site OEM Warranty(Year)",,1
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************GHAZIABAD1030",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********GHAZIABAD,,10,,30,
