Bid Details,,,
Bid End Date/Time,,07-08-2021 16:00:00,
Bid Opening Date/Time,,07-08-2021 16:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Petroleum And Natural Gas,
Department Name,,Na,
Organisation Name,,Hindustan Petroleum Corporation Ltd,
Office Name,,Petroleum House,
Total Quantity,,1,
Item Category,,BOQ,
"MSE Exemption for Years of Experience andTurnover",,No,
Startup Exemption for Years Of Experience,,Yes,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,ICICI,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,24,
Brand Type,Unbranded,
"",Specification Document,,View File,
BOQ Document,,View File,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer682309,HPCL IRUMPANAMTERMINAL, seaport airport1Sunil Kumar Sahu1122Road, Irumpanam post, Kochi,Kochi - 682309",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Sunil Kumar Sahu,,"682309,HPCL IRUMPANAMTERMINAL, seaport airportRoad, Irumpanam post, Kochi,Kochi - 682309",,1,,122,
