Bid Details,,,
Bid End Date/Time,,06-08-2021 18:00:00,
Bid Opening Date/Time,,06-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Gujarat,
Department Name,,Industries And Mines Department Gujarat,
Organisation Name,,Craft Of Gujarat Indext-c Industrial Extension Cottage,
Office Name,,Indext C,
Total Quantity,,1,
Item Category,,Tablet Computers,
Years of Past Experience required,,1 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,Bidder Turnover,OEMAuthorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,79000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
Display,,"Display Size (Minimum)(Inch)",,"12, 12.5, 12.9 Or higher"
"",,Display Resolution (Pixels),,"2560 x 1600, 2732 x 2048, 2388 x 1668 Or higher"
"",,Brightness (Minimum) (Nits),,"390, 400, 412, 450, 500, 600 Or higher"
Operating System,,Operating System Details,,"Android Oreo 8.0 or Higher, iOS 12.0 or Higher,Android Pie 9.0 or Higher, Android 10.0 or Higher Orhigher"
"",Connectivity Type,,Wifi + Cellular Or higher,
"",Cellular Data Support,,"4G / LTE, VoLTE Or higher",
"",GPS,,Yes Or higher,
"",AGPS,,Yes Or higher,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"Number of GSM SIMAvailable",,"1, 2 Or higher"
"",,Cellular Voice Calling,,Yes
Processor,,"Processor Speed (Minimum)(GHz)",,2.0 & higher Or higher
"",,Processor Core (Number),,8 Or higher
Memory,,RAM Size (GB),,"3, 4, 8 Or higher"
Storage,,"Internal Storage Capacity(GB)",,"128, 256, 512, 1024 Or higher"
Camera,,Rear Camera (Mega Pixel),,"12, 13 Or higher"
"",,Front Camera (Mega Pixel),,"7, 8 Or higher"
General,,"Battery Capacity (minimum)(mAH)",,7001 & higher Or higher
"AdditionalAccessories (OEM /Third Party)",,OTG Cable,,"Yes, No Or higher"
"",,Docking Station,,"Yes, No Or higher"
"",,Compatible Carry Case,,"Yes, No Or higher"
"",,Compatible Smart Cover,,"Yes, No Or higher"
"",,Compatible Active Stylus,,Yes Or higher
"",,Ear Phone,,"Yes, No Or higher"
Other Options,,"Availability of Mobile DeviceManagement (MDM)Support",,No
"",,"Mobile Device Management(MDM) License and Support(Year)",,"0, 1, 2, 3 Or higher"
"",,"Mobile Device ManagementHosting (MDM)",,NA
"",,"Device Enrolment Program(DEP) License and Support(Year)",,NA
Warranty,,"Availabiliy of Service Centrefor Warranty Obligation",,"State Level, District Level Or higher"
"","OEM Warranty Period forBattery (Year)",,"1, 2 Or higher",
"","OEM Warranty Period forTablet (Year)",,"1, 2, 3 Or higher",
"Specification ParameterBid Requirement (Allowed Values)NameSamsungSamsung galaxy tab s7 + LTE (T 975N)","Specification ParameterName",,Bid Requirement (Allowed Values)
Samsung,,Samsung galaxy tab s7 + LTE (T 975N),
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng OfficerMukeshkumar382028,Block no.7/1, Sector-1130Mehta11, Gandhinagar.",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"MukeshkumarMehta",,"382028,Block no.7/1, Sector-11, Gandhinagar.",,1,,30,
