RA Details,,,
RA Technical End Date/Time,,03-08-2021 19:00:00,
RA Opening Date/Time,,03-08-2021 19:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Human Resource Development,
Department Name,,Department Of Higher Education,
Organisation Name,,Indian Institute Of Technology (iit),
Office Name,,Madras,
Total Quantity,,3,
Item Category,,Hot and Cold Air Conditioners,
Average Turnover (Last 3 Years),,1 Lakh (s),
OEM Average Turnover (Last 3 Years),,3 Lakh (s),
Experience Criteria,,1 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,Bidder Turnover,OEMAnnual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,10 %,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Type of Air Conditioner,High wall Split AC (Hot and Cold),
Compressor (Speed Type),Inverter (Variable Speed),
Heating Mechanism,"Heat Pump, Electric Heater",
Nominal Capacity (TR),2,
"Nominal Cooling Capacity(kcal/hr)",6000 for 2.0 TR,
Nominal Heating Capacity,"90 to 100% of Cooling Capacity, 101 to 110% ofCooling Capacity",
Coil Material (Evaporator),Copper,
Coil Material (Condensor),Copper,
Fin Material (Evaporator),"Copper, Aluminium",
Specification,Specification Name,Bid Requirement (Allowed Values),
"",Fin Material (Condensor),"Copper, Aluminium",
"",Eco-friendly refrigerant,Yes,
"",BEE Star Rating,5,
"",Features,"Auto restart, Sleep mode, 24 hour On-Off Timer, PowerSaver, 2-way air swing, 4-way air swing, Speedsettings",
"","Minimum length of copperpipe and suitableconnecting electrical cablefor installation andcommissioning - inclusive inthe scope of supply","3 metre, 5 metre",
"WARRANTY &INSTALLATION",Warranty on machine,1.0,
Warranty on Compressor,5.0,,
"Installation andCommissioning","With Installation and Commissioning, WithoutInstallation and Commissioning",,
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"","AC with R 410A only will beconsidered. Aluminium Fin forboth indoor and outdoor isacceptable but coil should becopper",,"AC with R 410A only will be considered. Aluminium Fin for both indoor andoutdoor is acceptable but coil should be copper",
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,Ravichandran K,"600036,Indian Institute ofTechnology Madras",3,15,
