Bid Details,,,
Bid End Date/Time,,16-08-2021 18:00:00,
Bid Opening Date/Time,,16-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,65 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Defence Production,
Organisation Name,,Indian Ordnance Factories,
Office Name,,***********,
Total Quantity,,3672,
Item Category,,"S/A OF AIR RESERVOIR BRACKET, PART NO. B3910101-HA",
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Certificate (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,Yes,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated Bid Value,,343111.68,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"",DrawingDocument1,,View,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************JABALPUR3672120",S.No.
1,
"S.No.Document TitleDescriptionApplicable i.r.o. ItemsADDITIONAL SCOPEOF WORKS/A OF AIR RESERVOIR BRACKET,1S/A OF AIR RESERVOIR BRACKETPART NO. B3910101-HA(3672)View",S.No.,,,Document Title,,Description,,Applicable i.r.o. Items
1,,,"ADDITIONAL SCOPEOF WORKView",,S/A OF AIR RESERVOIR BRACKET,,"S/A OF AIR RESERVOIR BRACKET,PART NO. B3910101-HA(3672)",
