Bid Details,,,
Bid End Date/Time,,06-08-2021 16:00:00,
Bid Opening Date/Time,,06-08-2021 16:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Pmo,
Department Name,,Department Of Atomic Energy,
Organisation Name,,Nuclear Power Corporation Of India Limited,
Office Name,,Kalpakkam,
Total Quantity,,1,
Item Category,,OMEGA 85 Shear Sensation Multipurpose Grease,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)GenericNILGI Grade2SpecificationPacking and MarkingPack Size5.0",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"GenericSpecification",,NILGI Grade,,2,
Packing and Marking,,Pack Size,,5.0,
"Specification ParameterBid Requirement (Allowed Values)NameQuantity and Packing of Omega85 Shear Sensation5 Kg in sealed ContainerMultipurpose Grease","Specification ParameterName",,Bid Requirement (Allowed Values)
"Quantity and Packing of Omega85 Shear SensationMultipurpose Grease",,5 Kg in sealed Container,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer603102,MADRAS ATOMIC1Rakesh Kumar Jinger135POWER STATION",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Rakesh Kumar Jinger,,"603102,MADRAS ATOMICPOWER STATION",,1,,35,
