Bid Details,,,
Bid End Date/Time,,03-08-2021 09:00:00,
Bid Opening Date/Time,,03-08-2021 09:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Total Quantity,,6000,
Item Category,,Malted Milk Food-lS:1806,
"Minimum Average Annual Turnover of theBidder",,10 Lakh (s),
OEM Average Turnover (Last 3 Years),,80 Lakh (s),
Years of Past Experience required,,1 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AnnualTurnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,20 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)Physical propertiesMalted Milk Food TypesMalted milk foods not containing cocoa powder,malted milk foods containing cocoa powder.",Specification,,Specification Name,,Bid Requirement (Allowed Values)
Physical properties,,Malted Milk Food Types,,"Malted milk foods not containing cocoa powder,malted milk foods containing cocoa powder.",
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************HARIDWAR600005",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********HARIDWAR,,6000,,05,
