Bid Details,,,
Bid End Date/Time,,06-08-2021 16:00:00,
Bid Opening Date/Time,,06-08-2021 16:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,45 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Navy,
Office Name,,***********,
Total Quantity,,2100,
Item Category,,STERILE HAND GLOVES SIZE 7.0,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,Yes,
"Inspection to be carried out by Buyers ownempanelled agency",,Yes,
Type Of Inspection,,Post Dispatch,
"Name of the Empanelled InspectionAgency/ Authority",,Board of Officers,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MSE Purchase Preference,,No,
"",MII Purchase Preference,,No,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************ERNAKULAM210021",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********ERNAKULAM,,2100,,21,
