RA Details,,,
RA Technical End Date/Time,,06-08-2021 14:00:00,
RA Opening Date/Time,,06-08-2021 14:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Army,
Office Name,,***********,
Total Quantity,,1,
Item Category,,Portable X Ray Machine,
Average Turnover (Last 3 Years),,2 Lakh (s),
OEM Average Turnover (Last 3 Years),,18 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,450000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values),
"Type of frequencyGenerator",High frequency,,
Specification,Specification Name,Bid Requirement (Allowed Values),
"PerformanceParameters","Frequency generator outputin kW",4,
Voltage Output range in kV,40 to 120,,
Tube Current in mA,100,,
"Maximum Exposure time inmilli sec",upto 40,,
mAs Range,0.5 to 250,,
"Nominal focal spot size inmm",1 to 2,,
Type of Collimator,Manual,,
Focal Spot size in mm,1-2,,
"Automatic exposure controldevice provided","Yes, No",,
"Provision of Anatomicalprogrammingradiography(APR)",Yes,,
X-ray tube system,Stationary Anode,,
"X- ray film Cassette holderavailable",Yes,,
"X-ray film cassette holdersize in mm x mm",35 x 43,,
"Number of installations ofthe Portable X- raymachines in Central/State/PSU Govt Hospitals(Hint: Seller should furnish aperformance certificate ofthe device to the buyer ifdemanded after placementof the order)",">3, <3",,
"Availability of toll freefacility for technical supportmaintened by OEM orauthorized agencies",Yes,,
"Warranty (Option ofcomprehensive warranty isavailable through biddingonly, which if opted willsupersede normal warrantyin the catalogue)",5,,
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",BBQR-I,,"1. Main compensation : Automatic (_+ 10% input mains voltage of 220-240VAC single phase) 2. mA output range: upto 100 mA , KV input range: 40 KVto 100 KV & mAs range: up to 125 mAs. 3.Exposure time: minimum 4 msfacility of selectiong KV & mAs. 4. Xray tube: Rotating anode type with thefocal spot size, anode RPM, filtrarion proided by tube.",
"",BBQR-II,,"5. Collimator: Should have 95 w lamp for clear vizuvalisation of the area ofinterest in open areas like wards/ICUs, It should have auto shut facility toensure longer life of the collimator lamp. 6. Cassette box: siutable for 6-8cassettes 7. Accessaries: Cassestte push lock type Blue base rare earthscreen with KR8/DG8. 8. Certificaton: (i) AERB Certificate (ii) ISO 9001:20000or IEC 60601 or CE certificate",
"",Company Sevices,,Service network should have with 24x7 call login facility,
"",Past performance,,more than 50 %,
"",Demonstration required,,At the time of technical evaluation,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,***********,***********JALANDHAR,1,15,
