Bid Details,,,
Bid End Date/Time,,03-08-2021 16:00:00,
Bid Opening Date/Time,,03-08-2021 16:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,15000,
Item Category,,Urn Sand Bags-Hdpe And Pp Sand Bag-IS:14252: 2015,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"OEM Authorization Certificate*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)GENERICTying CordPP rope of 4 mm dia, pierced between two layers offabric below mouth hamming, length not less than 70cm.MaterialPoly propylene (PP)CERTIFICATIONSISI MarkedNo",Specification,,Specification Name,,Bid Requirement (Allowed Values)
GENERIC,,Tying Cord,,"PP rope of 4 mm dia, pierced between two layers offabric below mouth hamming, length not less than 70cm.",
"",,Material,,Poly propylene (PP),
CERTIFICATIONS,,ISI Marked,,No,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************Pathankot1500030",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********Pathankot,,15000,,30,
