Bid Details,,,
Bid End Date/Time,,06-08-2021 15:00:00,
Bid Opening Date/Time,,06-08-2021 15:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Science And Technology,
Department Name,,Department Of Biotechnology (dbt) Government Of India,
Organisation Name,,"Institute Of Bioresources And Sustainable Development(ibsd)",
Office Name,,Ibsd,
Total Quantity,,1,
Item Category,,CO2 Incubator,
Years of Past Experience required,,2 Year (s),
MSE Exemption for Years Of Experience,,Yes,
Startup Exemption for Years Of Experience,,Yes,
Document required from seller,,"Experience Criteria,Past Performance*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",Reserved for Make In India products,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)PerformanceAvailability of Fan lessYes, Fan with in chamber HEPA for better recoveryParametersdesign to reduce chance ofand ISO class 5 clean air Or highercontamination, reducenoiseReportsWarranty in years3, 4, 5 Or higher",Specification,,Specification Name,,Bid Requirement (Allowed Values)
"PerformanceParameters",,"Availability of Fan lessdesign to reduce chance ofcontamination, reducenoise",,"Yes, Fan with in chamber HEPA for better recoveryand ISO class 5 clean air Or higher",
Reports,,Warranty in years,,"3, 4, 5 Or higher",
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer795001,Institute ofBioresources and Sustainable1Oinam Rabi SinghDevelopment (IBSD), Takyelpat115Institutional Area, BehindScience Centre, Imphal West",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Oinam Rabi Singh,,"795001,Institute ofBioresources and SustainableDevelopment (IBSD), TakyelpatInstitutional Area, BehindScience Centre, Imphal West",,1,,15,
