RA Details,,,
RA Technical End Date/Time,,05-08-2021 15:00:00,
RA Opening Date/Time,,05-08-2021 15:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Pmo,
Department Name,,Department Of Atomic Energy,
Organisation Name,,Atomic Energy Education Society (aees),
Office Name,,Central Office Aees,
Total Quantity,,184,
Item Category,,conference folder,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Past Performance*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,10 %,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Material,"Material of conferencefolder",Jute
Dimension,Spine Width (mm),20
"PhysicalCharacteristics",Pocket for note pad and pen,Yes
Closure,Steel Zip,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Anand Kumar,"400094,Anushaktinagar, Mumbai",184,15
