Bid Details,,,
Bid End Date/Time,,11-08-2021 11:00:00,
Bid Opening Date/Time,,11-08-2021 11:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Defence Research & Development,
Organisation Name,,Office Of Dg (ace),
Office Name,,***********,
Total Quantity,,10,
Item Category,,Compatible Ribbon Cartridge,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
"SpecificationSpecification NameBid Requirement (Allowed Values)SpecificationCharacter Yield of the111.22, 632156Compatible RibbonCartridge for upto 85% ofthe total Optical Density (at10cpi) (Mil;ion Character)",Specification,,Specification Name,,Bid Requirement (Allowed Values)
Specification,,"Character Yield of theCompatible RibbonCartridge for upto 85% ofthe total Optical Density (at10cpi) (Mil;ion Character)",,"111.22, 632156",
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer1**********************PUNE1090",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,***********,,***********PUNE,,10,,90,
