Bid Details,,,
Bid End Date/Time,,06-08-2021 15:00:00,
Bid Opening Date/Time,,06-08-2021 15:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Railways,
Department Name,,Na,
Organisation Name,,N/a,
Office Name,,Southern Railway,
Total Quantity,,1,
Item Category,,LEXMARK 708HKE BLACK HIGH YIELD CORPORATE TONER,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer600003,Office of the ChiefMedical Director General1Dr.Anandhan P115Managers Office Park TownChennai-600003",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Dr.Anandhan P,,"600003,Office of the ChiefMedical Director GeneralManagers Office Park TownChennai-600003",,1,,15,
