RA Details,,,
RA Technical End Date/Time,,06-08-2021 14:00:00,
RA Opening Date/Time,,06-08-2021 14:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Maharashtra,
Department Name,,Public Health And Family Welfare Department Maharashtra,
Organisation Name,,Commissioner Health Services,
Office Name,,Esis Hospital Aurangabad,
Total Quantity,,300,
Item Category,,Urine collection bag,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
GENERAL,Patient Category,"Peadiatric, Adult"
DIMENSIONS,Length of Tubing (cm),"100, 150"
"",Diameter of Tubing (mm),1 - 100
MATERIAL,No of layers,"Single, Double"
CONSTRUCTION,Type of Outlet,"Push - Pull Type, T Tap Type"
MARKING,Marking Interval (ml),1 - 1000
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Anjali Ashish Bansod,"431001,ESIS HOSPITAL PLOT NO16 NAREGOAN ROAD MIDCCHIKALTHANA AURANGABAD",300,15
