RA Details,,,
RA Technical End Date/Time,,06-08-2021 17:00:00,
RA Opening Date/Time,,06-08-2021 17:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,65 (Days),
Ministry/State Name,,Pmo,
Department Name,,Department Of Atomic Energy,
Organisation Name,,N/a,
Office Name,,Directorate Of Purchase And Stores,
Total Quantity,,1300,
Item Category,,Paper Clips as per IS:5650,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values),
"Certification andMaterial",Material,Copper coated MS Wire,
Dimension,Shape,Standard,
Size (L X W) (mm X mm),Large ( 31mm X 8 mm),,
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"",Number of Clips in a box 100,,yes,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,"KANTILAL GULABBHAIBABINWALA","500062,HRPSU, NFC, P.O. ECIL,",1300,30,
