Bid Details,,,
Bid End Date/Time,,17-08-2021 18:00:00,
Bid Opening Date/Time,,17-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Finance,
Department Name,,Department Of Financial Services,
Organisation Name,,Union Bank Of India (ubi),
Office Name,,Central Office Dept Of Information Technology,
Total Quantity,,1,
Item Category,,BOQ,
"Minimum Average Annual Turnover of theBidder",,8 Lakh (s),
OEM Average Turnover (Last 3 Years),,64 Lakh (s),
Years of Past Experience required,,3 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested inATC),Additional Doc 3 (Requested in ATC),Additional Doc 4(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,40 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,5 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,3.00,,
Duration of ePBG required (Months).,,38,,
Brand Type,Unbranded,
"",Specification Document,,View File,
BOQ Document,,View File,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer400023,Union Bank of India,Field General Manager Office ,Union Bank of India Building, 41Rathijeet Bala115th Floor, 66/80, MumbaiSamachar Marg, Mumbai-400023 Maharashtra",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Rathijeet Bala,,"400023,Union Bank of India,Field General Manager Office ,Union Bank of India Building, 4th Floor, 66/80, MumbaiSamachar Marg, Mumbai-400023 Maharashtra",,1,,15,
