RA Details,,,
RA Technical End Date/Time,,09-08-2021 10:00:00,
RA Opening Date/Time,,09-08-2021 10:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,70 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,49,
Item Category,,Desktop Computers,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,2567590,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,38,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
Motherboard,Chipset Series,"Intel H Series, Intel B Series, Intel Q Series Or higher"
Chipset Number,"Intel H310, Intel H370, Intel B360, Intel Q 250, Intel Q270, Intel Q 370, Intel B 365 Or higher",
"Expansion Slots (PCIe x 16)(Number)","1, 2, 3 Or higher",
Processor Make,Intel,
Processor Generation,8.0 Or higher,
"Number of Cores perProcessor","6, 8, 10, 12 Or higher",
"Processor Base Frequency(GHz)","2.8, 2.9, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4,4.1, 4.2, 4.3 Or higher",
Processor Description,"Intel Core i5, Intel Core i7, Intel Core i9 Or higher",
Processor Number,"Intel Core i5 8400, Intel Core i5 8500, Intel Core i58600, Intel Core i5 8600K, Intel Core i7 8700T, IntelCore i7 7700K, Intel Core i7 8700, Intel Core i7 8700K,Intel Core i5 9400, Intel Core i5 9500, Intel Core i59600, Intel Core i7 9700, Intel Core i9 9900, Intel Corei7 9700K, Intel Core i9 9900K, Intel Core i9 9900KS,Intel Core i9 9900KF, Intel Core i7 9700KF, Intel Corei7 9700F, Intel Core i7 8086K, Intel Core i5 9600K,Intel Core i5 9600KF, Intel Core i9 9900T, Intel Core i59500F, Intel Core i5 9400F, Intel Core i7 9700T Orhigher",
Specification,Specification Name,Bid Requirement (Allowed Values),
"",Cache (MB),9.0 - 96.0 Or higher,
Operating System,"Operating System (FactoryPre-Loaded)",Windows 10 Professional,
Memory,RAM Size (GB),"8, 16, 32, 64, 128 Or higher",
"","RAM Expandability up to(using spare DIMM Slots inGB)","32, 64, 128 Or higher",
Storage,"Type of Drives used topopulate the Internal Bays",HDD,
"",Total HDD Capacity (GB),"1000, 1500, 2000, 2500, 3000, 4000 Or higher",
"",Total SSD Capacity (GB),"128, 256, 384, 512, 768, 0, 1024, 2048, 4096 Orhigher",
"","Total SSHD Capacity inaddition to 8 GB Flash (GB)","500, 1000, 2000, 0 Or higher",
Cabinet,Cabinet Form Factor,Tower (13.1 to 26 Litres),
"",Optical Drive,DVD R/W,
Monitor,Monitor Technology,IPS Or higher,
"","LED Backlit Monitor Size(INCHES)","24, 27, 23.8, 32 Or higher",
"",Monitor Resolution (PIXELS),"1920x1080, 1920 x 1200, 3200x1800, 3840 x 2160,2560 x 1440 Or higher",
Input Devices,Mouse Connectivity,"Wired, Wireless Or higher",
"",Keyboard Connectivity,"Wired, Wireless Or higher",
Warranty,"On Site OEM Warranty(Year)","3, 5, 4 Or higher",
"","Specification ParameterName",,Bid Requirement (Allowed Values),
"",,,,
"","REFER PRODUCT ID FORDETAILS OF SPECIFICATION",,5116877-29359621257,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days,
1,***********,***********BATHINDA,49,30,
