RA Details,,,
RA Technical End Date/Time,,03-08-2021 15:00:00,
RA Opening Date/Time,,03-08-2021 15:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Uttar Pradesh,
Department Name,,Urban Development Department Uttar Pradesh,
Organisation Name,,N/a,
Office Name,,Nagar Panchayat Adari Mau,
Total Quantity,,5560,
Item Category,,"bleaching powder, Stable as per IS:1065 , Glyphosate 41%SI , Malathion 5% DP as per IS:2568",
Average Turnover (Last 3 Years),,1 Lakh (s),
OEM Average Turnover (Last 3 Years),,4 Lakh (s),
Experience Criteria,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Additional Doc 2 (Requested in ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Primary Product,,"bleaching powder, Stable as per IS:1065",
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Past Performance,,80 %,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Unbranded,
Specification,Specification Name,Bid Requirement (Allowed Values),
Grade and Material,Grade,Grade 2,
"Requirements ForBleaching PowderStable","Available Chlorine (Percentby Mass)",34,
"",Moisture (Percent by Mass),0.5,
Keeping Quantity,"Keeping Quality (> = 30)(Days)",30,
Packing and Marking,Quantity of Material (Kgs),1.0,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Ekrar Ahmad,"275102,Nagar panchayat AdariMau",3000,15
Brand Type,Unbranded
Specification,Specification Name,Bid Requirement (Allowed Values)
Packing,packing size (in litre),1
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Ekrar Ahmad,"275102,Nagar panchayat AdariMau",60,15
Brand Type,Unbranded
Specification,Specification Name,Bid Requirement (Allowed Values)
Packing,packing size (in kg),25
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,Ekrar Ahmad,"275102,Nagar panchayat AdariMau",2500,15
