Bid Details,,,
Bid End Date/Time,,26-08-2021 13:00:00,
Bid Opening Date/Time,,26-08-2021 13:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Pmo,
Department Name,,Department Of Atomic Energy,
Organisation Name,,N/a,
Office Name,,Directorate Of Purchase And Stores,
Total Quantity,,1000,
Item Category,,Non Recycled Mild Steel Barrels,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Advisory Bank,,State Bank of India,
"",ePBG Percentage(%),,3.00,
"",Duration of ePBG required (Months).,,12,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer603102,DPS/IGCAR, Central1Vijayakumar R1000300Stores Unit, Kalpakkam .",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Vijayakumar R,,"603102,DPS/IGCAR, CentralStores Unit, Kalpakkam .",,1000,,300,
