Bid Details,,,
Bid End Date/Time,,09-08-2021 18:00:00,
Bid Opening Date/Time,,09-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Ministry Of Personnel Public Grievances And Pensions,
Department Name,,Department Of Personnel And Training,
Organisation Name,,Central Bureau Of Investigation (cbi),
Office Name,,Head Office,
Item Category,,Photocopying Service - Onsite,
Contract Period,,1 Year(s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"SHG Exemption for Years of Experience andTurnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,787807,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"SpecificationValuesCoreInstallation of MachineOnsiteNumber of Working Days in a week6Shift for Operating Machine1OperatorWith OperatorPaperPaper to be provided by service providerSize of Paper( In CM)A4 (21.0 x 29.7)Paper Thickness in GSM75-85Brand of PaperAny BrandColour TypeMonochromeCapacity of the machine for dispensing the pages per day5000-10000Photocopying Resolution (DPI)300Age of MachineAnyBuyer will pay for CartridgeNoBuyer will pay for Electricity BillYesInsurance of the machine required by service providerNot ApplicableAddon(s)",Specification,,Values
Core,,,
Installation of Machine,,Onsite,
Number of Working Days in a week,,6,
Shift for Operating Machine,,1,
Operator,,With Operator,
Paper,,Paper to be provided by service provider,
Size of Paper( In CM),,A4 (21.0 x 29.7),
Paper Thickness in GSM,,75-85,
Brand of Paper,,Any Brand,
Colour Type,,Monochrome,
Capacity of the machine for dispensing the pages per day,,5000-10000,
Photocopying Resolution (DPI),,300,
Age of Machine,,Any,
Buyer will pay for Cartridge,,No,
Buyer will pay for Electricity Bill,,Yes,
Insurance of the machine required by service provider,,Not Applicable,
Addon(s),,,
S.No.,,"Consignee/Reporting Officer",,Address,,"ServiceEstimatedNumber ofPages permonth",,"AdditionalRequirement"
S.No.,,"Consignee/Reporting Officer",,Address,,"ServiceEstimatedNumber ofPages permonth",,"AdditionalRequirement"
1,,Pradeep Thomas,,"682017,Kathrikkadava,P.O.Kaloor, Cochin, Kerala-682017 0484-2348501 (T/F)0484-2348601",,77236,,"Number of monthswithin contractperiod : 12"
