RA Details,,,
RA Technical End Date/Time,,02-08-2021 15:00:00,
RA Opening Date/Time,,02-08-2021 15:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,80 (Days),
Ministry/State Name,,Ministry Of Coal,
Department Name,,Materials Management,
Organisation Name,,Northern Coalfields Limited,
Office Name,,Singrauli,
Total Quantity,,1,
Item Category,,Axial Piston Pumps,
Experience Criteria,,1 Year (s),
MSE Exemption for Years Of Experience,,Yes,
Startup Exemption for Years Of Experience,,Yes,
Document required from seller,,"Experience Criteria*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand
Specification,Specification Name,Bid Requirement (Allowed Values)
"PerformanceCharacteristics",Rotation Direction,Anti-Clockwise
"","Flow Rate, L/min",300.0 - 964.0 Or higher
"",Seals,"NBR (gearbox-side shaft seal made of FKM, pump-sideshaft seal and other NBR seals)"
"",Shaft Type,Spline shaft
"","Maximum Rotation Speed,RPM",2500.0 - 3600.0 Or higher
"",Type of Mounting,"Front Mounting, 4 Hole Flange"
"","Maximum Displacement,cm3/rev",180.0 - 360.0 Or higher
"","Maximum OperatingPressure",450 Or higher
Generic,Displacement Type,Variable
Design/Configuration,Single,
S.No.,"Consignee/Reporting Officer",Address,Quantity,Delivery Days
1,"Immanuel DiwakarBakki","231224,REGIONAL STORES,KAKRI PROJECT, NCL, PO - KAKRI",1,30
