Bid Details,,,
Bid End Date/Time,,18-08-2021 13:00:00,
Bid Opening Date/Time,,18-08-2021 13:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,60 (Days),
Ministry/State Name,,Uttar Pradesh,
Department Name,,Medical Education Department Uttar Pradesh,
Organisation Name,,N/a,
Office Name,,Lucknow,
Item Category,,"Custom Bid for Services - Centralized Pest Control Servicesin KGMU",
Contract Period,,1 Year(s),
"Minimum Average Annual Turnover of theBidder",,14 Lakh (s),
Years of Past Experience required,,3 Year (s),
"Past Experience of Similar Servicesrequired",,Yes,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"SHG Exemption for Years of Experience andTurnover",,No,
Document required from seller,,"Experience Criteria,Bidder Turnover,Certificate (Requestedin ATC)*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,2847668,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,State Bank of India,
EMD Percentage(%),,5.00
EMD Amount,,142383
"",Advisory Bank,,State Bank of India,
ePBG Percentage(%),,5.00,,
Duration of ePBG required (Months).,,12,,
Pre-Bid Date and Time,Pre-Bid Venue,
30-07-2021 13:00:00,University Environment Department KGMU Lucknow.,
"",Specification,,Values
"",Core,,
"","Description /Nomenclature of Service Proposed for procurement usingcustom bid functionality",,"Centralized Pest Control Servicesin KGMU"
"",Regulatory/ Statutory Compliance of Service,,YES
"","Compliance of Service to SOW, STC, SLA etc",,YES
"",Addon(s),,
"",S.No.,,"Consignee/Reporting Officer",,,Address,,"ServiceQuantity ofProcurement( to bechosen 1 inallcircumstances)",,"AdditionalRequirement"
"",1,,Vishal Nigam,,,"226003,King George MedicalUniversity, Shahmina Road,Chowk, Lucknow",,1,,N/A
