Bid Details,,,
Bid End Date/Time,,17-08-2021 11:00:00,
Bid Opening Date/Time,,17-08-2021 11:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,65 (Days),
Ministry/State Name,,Ministry Of Labour And Employment,
Department Name,,Na,
Organisation Name,,Employees State Insurance Corporation (esic),
Office Name,,"Esic Hospital, Sahibabad, Ghaziabad, Up",
Total Quantity,,1,
Item Category,,Food Trolley,
OEM Average Turnover (Last 3 Years),,4 Lakh (s),
Years of Past Experience required,,1 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years Of Experienceand Turnover",,Yes,
Document required from seller,,"Experience Criteria,Past Performance,Certificate (Requestedin ATC),OEM Authorization Certificate,OEM Annual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,50 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,Yes,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer201005,ESIC HOSPITAL1Sanjay KumarRAJINDER NAGAR SECTOR 2130SAHIBABAD GHAZIABAD UP",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Sanjay Kumar,,"201005,ESIC HOSPITALRAJINDER NAGAR SECTOR 2SAHIBABAD GHAZIABAD UP",,1,,30,
