Bid Details,,,
Bid End Date/Time,,10-08-2021 18:00:00,
Bid Opening Date/Time,,10-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Rajasthan,
Department Name,,Animal Husbandry Department Rajasthan,
Organisation Name,,Rajasthan Cooperative Dairy Federation(rcdf),
Office Name,,Jaipur,
Total Quantity,,1,
Item Category,,BOQ,
"Minimum Average Annual Turnover of theBidder",,15 Lakh (s),
OEM Average Turnover (Last 3 Years),,120 Lakh (s),
Years of Past Experience required,,3 Year (s),
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,BidderTurnover,Certificate (Requested in ATC),OEM AuthorizationCertificate,OEM Annual Turnover,Additional Doc 1(Requested in ATC),Compliance of BoQ specification andsupporting document*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,70 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,3 Days,
Estimated Bid Value,,3000000,
Evaluation Method,,Total value wise evaluation,
"",Advisory Bank,,State Bank of India,
EMD Percentage(%),,1.00
EMD Amount,,30000
"",Advisory Bank,,PUNJAB NATIONAL BANK,
ePBG Percentage(%),,2.50,,
Duration of ePBG required (Months).,,36,,
Brand Type,Unbranded,
"",Specification Document,,View File,
BOQ Document,,View File,,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer302017,SARAS SANKUL, J.L.N.1Manoj Kumar Vijay160MARG JAIPUR",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Manoj Kumar Vijay,,"302017,SARAS SANKUL, J.L.N.MARG JAIPUR",,1,,60,
