Bid Details,,,
Bid End Date/Time,,05-08-2021 18:00:00,
Bid Opening Date/Time,,05-08-2021 18:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,30 (Days),
Ministry/State Name,,Ministry Of Finance,
Department Name,,Department Of Revenue,
Organisation Name,,Central Board Of Direct Taxes (cbdt),
Office Name,,Joint Director Of Income Tax Investigation Nashik,
Total Quantity,,1,
Item Category,,All in One PC,
OEM Average Turnover (Last 3 Years),,1 Lakh (s),
Years of Past Experience required,,1 Year (s),
"MSE Exemption for Years Of Experienceand Turnover",,Yes,
"Startup Exemption for Years of Experienceand Turnover",,No,
Document required from seller,,"Experience Criteria,Past Performance,Bidder Turnover,OEMAnnual Turnover*In case any bidder is seeking exemption from Experience /Turnover Criteria, the supporting documents to prove hiseligibility for exemption must be uploaded for evaluation bythe buyer",
Past Performance,,10 %,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Registered Brand,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
Specification,,Specification Name,,Bid Requirement (Allowed Values)
Motherboard,,Chipset Series,,"Intel H Series, Intel B Series, Intel Q Series, Intel ZSeries Or higher"
"",,Chipset Number,,"Intel B460, Intel Q470, Intel H 470, Intel H 410, Intel Z490 Or higher"
Processor,,Processor Make,,Intel
"",,Processor Generation,,10.0 Or higher
"",,"Number of Cores perProcessor",,"6, 8, 10 Or higher"
"",,"Processor Base Frequency(GHz)",,"2.9, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4, 4.1,4.2, 4.3 Or higher"
"",,Processor Description,,"Intel Core i5, Intel Core i7, Intel Core i9 Or higher"
"",,Processor Number,,"Intel Core i5 10400, Intel Core i9 10900T, Intel Core i510500, Intel Core i5 10600, Intel Core i7 10700, IntelCore i7 10700K, Intel Core i9 10900, Intel Core i910900K, 10th-generation Intel Core i7, Turbo Boostup to 5.0GHz Or higher"
Graphics,,Graphics Type,,Integrated
"",,"Size of Memory in Case ofDedicated Graphic Card(GB)",,"0, 1, 2, 3, 4, 8 Or higher"
Operating System,,"Operating System (FactoryPre-Loaded)",,"Windows 10 Professional, Windows 10 Home"
Memory,,RAM Size (GB),,"8, 16, 32, 64 Or higher"
"",,"RAM Expandability up to(using spare DIMM Slots inGB)",,64 Or higher
Storage,,"Type of Drives used topopulate the Internal Bays",,HDD
"",Total HDD Capacity (GB),,"1000, 1500, 2000, 2500, 3000 Or higher",
"",Total SSD Capacity (GB),,"128, 256, 384, 512, 768, 1024, 2048, 4096, 0 Orhigher",
"",Optane Memory (GB),,"8, 16, 32, 0, 64 Or higher",
"",Display Size (INCHES),,"21.5, 22, 23.6, 23.8, 27, 34, 37.5 Or higher",
"",Display Type,,"Non Touch, Touch Or higher",
"",Panel Technology,,"IPS, WVA Or higher",
"",Display Resolution (PIXELS),,"1920x1080, 1920 x 1200, 3200x1800, 3840 x 2160,3440 x 1440, 4096x2304, 5120x2880 Or higher",
"","Availability of Webcamintegrated with Display",,Yes,
"","If yes, Resolution of Webcam",,"FHD, NA Or higher",
"","Availability of Speakersintegrated with Display",,Yes,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,"If Yes, Number of Speakersavailable",,2 Or higher
Generic,,Stand,,"Standard, Height Adjustable,Recliner/Flexi/Articulating Or higher"
Input Devices,,Mouse Connectivity,,"Wired, Wireless Or higher"
"",,Keyboard Connectivity,,"Wired, Wireless Or higher"
"",,Type of Keyboard,,Standard with Rupee Symbol Or higher
Warranty,,"On Site OEM Warranty(Year)",,"3, 5 Or higher"
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer422002,3rd Floor, Shree SaiShobhan Complex, Near1Amit Kumar115Janlaxmi Bank, Gadkari Square,NASHIK",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,Amit Kumar,,"422002,3rd Floor, Shree SaiShobhan Complex, NearJanlaxmi Bank, Gadkari Square,NASHIK",,1,,15,
