Bid Details,,,
Bid End Date/Time,,05-08-2021 14:00:00,
Bid Opening Date/Time,,05-08-2021 14:30:00,
Bid Life Cycle (From Publish Date),,90 (Days),
Bid Offer Validity (From End Date),,70 (Days),
Ministry/State Name,,Ministry Of Communications,
Department Name,,Department Of Posts,
Organisation Name,,Madhya Pradesh Postal Circle Department Of Posts,
Office Name,,Madhya Praodesh,
Total Quantity,,60000,
Item Category,,Rakhi Envelope on sale and return basis,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
Bid to RA enabled,,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
Estimated Bid Value,,372000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
"",MII Purchase Preference,,No,
"",MSE Purchase Preference,,Yes,
Brand Type,Unbranded,
"",Buyer Specification Document,,Download,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng Officer462027,O/o The ChiefSurendra Kumar1Postmaster General, Dak6000015DixitBhawan, Hoshangabad Road",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"Surendra KumarDixit",,"462027,O/o The ChiefPostmaster General, DakBhawan, Hoshangabad Road",,60000,,15,
