RA Details,,,
RA Technical End Date/Time,,06-08-2021 09:00:00,
RA Opening Date/Time,,06-08-2021 09:30:00,
RA Life Cycle (From Publish Date),,90 (Days),
RA Offer Validity (From End Date),,75 (Days),
Ministry/State Name,,Ministry Of Defence,
Department Name,,Department Of Military Affairs,
Organisation Name,,Indian Air Force,
Office Name,,***********,
Total Quantity,,120,
Item Category,,Overall ( Ground Crew ) - IAF,
"MSE Exemption for Years of Experience andTurnover",,No,
"Startup Exemption for Years of Experienceand Turnover",,No,
"Time allowed for Technical Clarificationsduring technical evaluation",,2 Days,
"Inspection Required (By EmpanelledInspection Authority / Agencies pre-registered with GeM)",,No,
Estimated RA Value,,110000,
Evaluation Method,,Total value wise evaluation,
"",Required,,No,
"",Required,,No,
Brand Type,Registered Brand,
Specification,Specification Name,Bid Requirement (Allowed Values),
SIZE,Size No,"3, 5",
REGISTRATION,"Whether registered withany Defense Authority",Yes,
TEST REPORT,"Availability of Test Reportfrom designated AHSP/NABL/ ILAC accredited orCentral Government Lab toprove conformity ofproducts to the specification",Yes,
"","Test reports to be furnished tobuyer on demand, if claimed tobe available",Not applicable,
ADVANCE SAMPLE,"Agree to provide AdvanceSample(s) for buyer'sapproval beforecommencement of supply",Not applicable,
"","Applicable SpecificationDocument",,View,
S.No.,"Consignee/Reporting Officer",,Address,Quantity,Delivery Days,
1,***********,,***********WEST MIDNAPORE,120,30,
